Turn,P,N,B,R,Q,p,n,b,r,q
125,5634,656,889,1441,463,5361,691,860,1399,419
126,5263,613,844,1354,429,5138,671,830,1357,422
127,5106,602,812,1319,426,4813,631,791,1296,388
128,4783,574,761,1248,399,4665,614,766,1247,383
129,4637,557,746,1214,391,4391,584,728,1193,355
130,4318,526,688,1146,369,4230,556,704,1146,346
131,4177,519,665,1108,363,3935,523,670,1099,325
132,3891,492,625,1058,334,3795,508,644,1067,322
133,3750,470,607,1012,328,3549,485,597,996,299
134,3523,438,577,973,310,3430,475,576,966,307
135,3427,429,569,948,301,3255,449,557,915,280
136,3195,409,540,881,277,3131,437,542,874,274
137,3112,398,526,857,272,2926,410,518,840,258
138,2912,372,492,817,255,2822,394,510,816,252
139,2833,366,478,803,257,2658,371,489,791,241
140,2609,336,453,758,240,2569,355,469,759,240
141,2525,323,450,731,244,2430,342,452,716,222
142,2399,302,432,702,225,2369,331,437,703,222
143,2327,295,424,681,223,2236,319,411,662,209
144,2179,284,407,648,209,2167,310,394,637,207
145,2138,280,403,631,206,2068,303,385,612,192
146,1983,267,377,588,196,2005,293,373,584,191
147,1894,255,361,563,190,1848,279,348,550,176
148,1760,241,340,530,177,1777,269,337,532,177
149,1729,235,331,520,175,1682,260,324,510,163
150,1613,222,314,485,162,1631,254,313,491,163
151,1564,219,307,470,159,1530,244,299,466,144
152,1475,208,290,453,151,1492,236,292,455,139
153,1438,198,286,440,149,1399,219,277,432,133
154,1346,189,270,416,138,1351,214,272,415,130
155,1297,180,261,398,135,1239,200,257,393,120
156,1219,166,243,378,126,1194,185,253,379,122
157,1194,164,238,369,131,1142,181,240,361,120
158,1143,154,230,349,125,1115,174,236,351,123
159,1117,149,224,339,123,1056,165,230,338,112
160,1065,137,218,325,115,1032,159,224,333,110
161,1036,135,215,319,113,982,145,216,320,104
162,982,130,205,303,108,953,144,210,311,104
163,956,125,201,289,109,900,141,202,292,95
164,889,122,194,275,97,876,137,196,283,94
165,857,115,191,268,98,822,130,189,270,87
166,818,110,183,254,88,802,127,185,264,85
167,786,107,180,243,89,757,120,170,246,77
168,728,103,171,228,82,725,118,166,237,72
169,708,102,165,224,82,685,113,155,231,68
170,679,94,160,217,76,675,111,154,227,66
171,661,93,154,211,78,642,103,143,216,64
172,624,90,147,209,72,621,101,139,214,66
173,608,84,146,203,71,589,96,131,206,62
174,584,81,142,195,65,576,95,130,201,58
175,580,81,141,192,64,559,92,124,194,55
176,544,77,136,183,62,549,91,119,188,53
177,536,73,134,181,60,527,87,114,182,52
178,513,72,129,174,56,515,86,112,179,54
179,493,68,125,169,55,474,85,103,170,52
180,459,66,114,164,52,456,81,100,165,50
181,440,65,110,158,51,429,78,97,154,47
182,419,63,100,153,47,416,77,93,147,45
183,412,60,97,150,48,393,76,86,141,43
184,398,59,91,143,47,390,74,85,137,46
185,391,59,88,141,47,376,74,83,131,46
186,367,56,86,138,43,368,73,81,128,45
187,347,51,81,133,43,330,65,78,121,44
188,322,47,75,128,42,312,65,74,116,44
189,320,47,75,128,41,307,65,70,112,40
190,307,45,75,123,40,304,65,68,110,40
191,300,45,72,118,39,287,60,68,104,38
192,274,42,71,113,36,274,59,66,101,36
193,266,40,70,109,36,261,57,65,97,33
194,250,37,69,102,36,247,56,63,92,33
195,243,36,69,99,34,235,56,61,90,30
196,234,34,67,96,33,230,55,59,89,28
197,227,34,65,93,32,225,50,58,85,26
198,221,33,61,89,29,223,50,57,82,25
199,219,32,61,88,28,213,49,55,80,24
200,209,29,61,85,28,212,48,55,76,25
201,200,27,58,82,26,195,44,51,69,23
202,184,27,55,76,25,180,40,49,68,22
203,178,27,54,74,25,170,40,47,65,21
204,163,25,50,70,24,160,39,45,64,21
205,162,25,48,69,24,150,37,43,63,21
206,152,25,47,66,24,141,37,41,63,21
207,150,25,47,66,24,135,35,40,60,21
208,146,25,47,62,24,135,35,39,59,21
209,142,25,45,61,23,123,35,37,58,19
210,140,25,43,60,22,123,35,36,58,19
211,139,25,42,59,22,120,35,35,57,19
212,126,24,42,59,20,106,35,35,57,18
213,126,24,42,59,20,101,34,34,56,17
214,109,22,37,56,19,92,32,33,54,16
215,104,22,37,56,18,86,29,33,54,14
216,97,22,34,52,16,81,27,32,51,13
217,95,22,33,50,14,72,25,31,44,12
218,94,22,31,50,14,72,25,31,44,12
219,93,22,31,49,14,70,23,31,43,11
220,93,20,29,46,13,68,22,31,42,11
221,93,20,29,46,13,67,22,30,42,11
222,88,19,29,46,12,66,22,29,41,12
223,86,18,29,46,11,61,21,29,39,10
